"Text"   ,"FirstPerson","InnerThinking","ThinkPositive","ThinkNegative","ThinkAhead","ThinkBack","Reasoning","Share_SocTies","Direct_Activity","Interacting","Notifying","LinearGuidance","WordPicture","SpaceInterval","Motion","PastEvents","TimeInterval","ShiftingEvents","Text_Coverage","Genre","Counter","Corpus","Corp.Genre"
A01.TXT  ,0.09         ,1.72           ,0.62           ,0.7            ,2.15        ,0.66       ,1.23       ,2.24           ,0.48             ,0            ,2.11       ,5.23            ,5.01         ,0.75           ,0.35    ,2.55        ,1.63          ,0.79            ,28.31          ,1      ,1        ,1       ,101
A02.TXT  ,0.13         ,1.48           ,0.38           ,0.63           ,1.85        ,0.93       ,1.48       ,2.28           ,0.21             ,0.17         ,1.77       ,3.46            ,4.34         ,0.59           ,0.25    ,1.77        ,1.39          ,0.8             ,23.91          ,1      ,2        ,1       ,101
A03.TXT  ,0.04         ,1.72           ,0.34           ,1.12           ,1.55        ,0.9        ,1.68       ,2.84           ,0.17             ,0.17         ,2.84       ,5.03            ,5.85         ,0.65           ,0.17    ,2.32        ,1.94          ,0.82            ,30.15          ,1      ,3        ,1       ,101
A04.TXT  ,0            ,2.74           ,0.9            ,2.43           ,1.21        ,1.03       ,3.46       ,3.06           ,0.22             ,0.31         ,2.47       ,3.15            ,3.28         ,0.67           ,0.09    ,1.89        ,1.71          ,0.81            ,29.43          ,1      ,4        ,1       ,101
A05.TXT  ,0.26         ,2.15           ,0.39           ,0.61           ,2.28        ,0.75       ,1.93       ,1.84           ,0.44             ,0.35         ,2.54       ,5.79            ,3.16         ,0.75           ,0.35    ,1.54        ,1.8           ,0.96            ,27.89          ,1      ,5        ,1       ,101
A06.TXT  ,0.26         ,1.26           ,0.7            ,0.91           ,1.83        ,0.52       ,1.74       ,2.13           ,0.3              ,0.48         ,2.22       ,6.52            ,5.83         ,0.83           ,0.26    ,1.61        ,1.35          ,0.83            ,29.58          ,1      ,6        ,1       ,101
A07.TXT  ,0.17         ,1.31           ,0.59           ,0.97           ,1.74        ,0.72       ,1.61       ,2.67           ,0.21             ,0.38         ,2.92       ,3.9             ,4.07         ,0.85           ,0.34    ,1.4         ,1.23          ,0.89            ,25.97          ,1      ,7        ,1       ,101
A08.TXT  ,0            ,3.4            ,0.59           ,1.4            ,2.94        ,0.63       ,2.17       ,1.99           ,0.14             ,0.14         ,3.08       ,2.67            ,5.16         ,1.18           ,0.45    ,0.91        ,1.31          ,0.81            ,28.97          ,1      ,8        ,1       ,101
A09.TXT  ,0.13         ,1.1            ,0.3            ,0.93           ,1.19        ,0.89       ,0.98       ,1.57           ,0.08             ,0.04         ,2.42       ,3.36            ,4.59         ,1.27           ,0.3     ,2.12        ,2.17          ,0.38            ,23.82          ,1      ,9        ,1       ,101
A10.TXT  ,0.04         ,1.98           ,0.25           ,0.93           ,2.19        ,0.8        ,1.86       ,2.32           ,0.51             ,0.08         ,2.61       ,4.68            ,4.01         ,0.63           ,0.25    ,1.98        ,1.77          ,0.55            ,27.44          ,1      ,10       ,1       ,101
A11.TXT  ,0.26         ,1.75           ,0.64           ,0.72           ,1.19        ,0.13       ,0.55       ,0.94           ,0.13             ,0            ,2.94       ,2.64            ,5.19         ,2.68           ,1.19    ,3.02        ,1.06          ,1.02            ,26.05          ,1      ,11       ,1       ,101
A12.TXT  ,0.47         ,1.99           ,1.02           ,1.52           ,1.14        ,0.3        ,1.78       ,1.14           ,0.17             ,0.21         ,2.2        ,5.71            ,3.21         ,2.45           ,0.8     ,3.09        ,1.95          ,1.02            ,30.17          ,1      ,12       ,1       ,101
A13.TXT  ,0.53         ,2.42           ,0.79           ,0.88           ,0.92        ,0.4        ,1.62       ,0.66           ,0                ,0.18         ,2.72       ,3.12            ,4.57         ,2.37           ,0.83    ,2.9         ,0.57          ,0.83            ,26.31          ,1      ,13       ,1       ,101
A14.TXT  ,0.17         ,1.19           ,0.51           ,1.06           ,1.61        ,0.55       ,1.7        ,2.21           ,0.21             ,0.13         ,2.34       ,5.05            ,6.07         ,1.02           ,0.81    ,2.08        ,1.06          ,0.98            ,28.75          ,1      ,14       ,1       ,101
A15.TXT  ,0.38         ,1.73           ,0.97           ,0.84           ,1.27        ,0.59       ,2.4        ,1.9            ,0.21             ,0.25         ,2.99       ,4.98            ,4.01         ,1.22           ,0.72    ,2.83        ,1.27          ,1.35            ,29.91          ,1      ,15       ,1       ,101
A16.TXT  ,0.2          ,0.99           ,0.79           ,0.44           ,2.02        ,0.12       ,1.39       ,0.83           ,0.32             ,0.2          ,2.22       ,3.4             ,6.06         ,1.54           ,0.51    ,0.95        ,0.99          ,0.71            ,23.68          ,1      ,16       ,1       ,101
A17.TXT  ,0.33         ,1.19           ,0.95           ,0.25           ,1.36        ,0.25       ,0.62       ,1.15           ,0.37             ,0.29         ,2.18       ,2.6             ,6.88         ,0.87           ,0.49    ,1.24        ,1.36          ,0.91            ,23.29          ,1      ,17       ,1       ,101
A18.TXT  ,0.08         ,0.95           ,0.91           ,0.2            ,1.43        ,0.32       ,0.71       ,1.19           ,0.12             ,0            ,1.98       ,2.93            ,6.58         ,0.44           ,0.2     ,0.91        ,1.63          ,0.67            ,21.25          ,1      ,18       ,1       ,101
A19.TXT  ,0.13         ,1.09           ,0.21           ,1.18           ,0.84        ,0.42       ,1.26       ,1.14           ,0.5              ,0.08         ,2.27       ,4.21            ,7.32         ,1.51           ,0.29    ,2.52        ,1.51          ,1.26            ,27.74          ,1      ,19       ,1       ,101
A20.TXT  ,0.04         ,1.31           ,0.42           ,1.23           ,0.81        ,0.64       ,1.06       ,1.31           ,0.04             ,0.04         ,2.59       ,4.2             ,6.02         ,0.55           ,0.42    ,3.77        ,1.7           ,1.14            ,27.29          ,1      ,20       ,1       ,101
A21.TXT  ,0.22         ,1.26           ,0.48           ,1.66           ,0.96        ,1          ,1.35       ,1.61           ,0.26             ,0.13         ,2.7        ,4.27            ,6.58         ,1.35           ,0.39    ,3.27        ,1.26          ,1.57            ,30.32          ,1      ,21       ,1       ,101
A22.TXT  ,0.04         ,1.45           ,0.29           ,1.04           ,1.45        ,0.46       ,1.37       ,2.37           ,0.08             ,0            ,2.24       ,4.4             ,6.65         ,1.08           ,0.5     ,2.58        ,1.2           ,0.54            ,27.74          ,1      ,22       ,1       ,101
A23.TXT  ,0.12         ,1.33           ,0.41           ,0.75           ,0.91        ,0.41       ,1.2        ,1.99           ,0.12             ,0.17         ,2.07       ,3.56            ,4.85         ,0.66           ,0.5     ,2.07        ,1.41          ,0.54            ,23.07          ,1      ,23       ,1       ,101
A24.TXT  ,0            ,0.76           ,0.13           ,0.8            ,1.26        ,0.93       ,0.67       ,2.23           ,0                ,0            ,2.73       ,3.36            ,8.33         ,1.14           ,0.25    ,2.61        ,1.18          ,1.68            ,28.06          ,1      ,24       ,1       ,101
A25.TXT  ,0.29         ,1.66           ,0.17           ,1.08           ,1.04        ,0.5        ,1.04       ,1.71           ,0.21             ,0.08         ,1.54       ,4.33            ,4.87         ,1.16           ,0.42    ,2.37        ,1.33          ,0.96            ,24.76          ,1      ,25       ,1       ,101
A26.TXT  ,0            ,1.49           ,0.38           ,0.26           ,0.94        ,0.38       ,1.75       ,1.02           ,0.09             ,0.17         ,2.73       ,2.6             ,5.34         ,1.37           ,0.3     ,1.45        ,1.49          ,0.68            ,22.44          ,1      ,26       ,1       ,101
A27.TXT  ,0.3          ,1.94           ,0.42           ,1.56           ,1.69        ,0.38       ,2.28       ,2.28           ,0.38             ,0.21         ,2.28       ,4.48            ,3.25         ,0.68           ,0.17    ,2.16        ,1.14          ,0.8             ,26.4           ,1      ,27       ,1       ,101
A28.TXT  ,0.09         ,2.21           ,0.35           ,0.3            ,0.87        ,0.26       ,2.64       ,1.25           ,0.13             ,0            ,2.6        ,4.37            ,5.1          ,1.21           ,0.3     ,2.03        ,1.38          ,0.91            ,26             ,1      ,28       ,1       ,101
A29.TXT  ,0.3          ,1.27           ,1.27           ,0.46           ,1.35        ,0.25       ,1.43       ,1.81           ,0.42             ,0.3          ,2.24       ,4.35            ,8.82         ,1.1            ,0.51    ,1.18        ,1.27          ,0.89            ,29.22          ,1      ,29       ,1       ,101
A30.TXT  ,0.9          ,2.48           ,0.56           ,0.73           ,1.2         ,0.34       ,2.1        ,1.03           ,0.3              ,0.26         ,3.04       ,3.17            ,6.85         ,1.33           ,0.3     ,1.54        ,1.46          ,1.07            ,28.66          ,1      ,30       ,1       ,101
A31.TXT  ,0.04         ,1.37           ,0.58           ,0.25           ,1.91        ,0.29       ,1.29       ,1.66           ,0.17             ,0.33         ,3.12       ,2.66            ,7.15         ,1.08           ,0.58    ,0.79        ,1.16          ,0.75            ,25.18          ,1      ,31       ,1       ,101
A32.TXT  ,1.09         ,2.55           ,1.3            ,0.82           ,1.47        ,0.38       ,1.68       ,2.01           ,0.54             ,0.65         ,2.39       ,4.08            ,6.96         ,0.98           ,0.65    ,1.52        ,0.76          ,0.65            ,30.48          ,1      ,32       ,1       ,101
A33.TXT  ,0.39         ,1.89           ,0.82           ,0.43           ,1.29        ,0.56       ,1.55       ,2.24           ,0.13             ,0.09         ,2.88       ,4.73            ,7.44         ,1.64           ,0.39    ,2.8         ,1.51          ,0.86            ,31.64          ,1      ,33       ,1       ,101
A34.TXT  ,0.04         ,2.63           ,1.18           ,1.62           ,1.75        ,0.92       ,2.54       ,2.32           ,0.13             ,0.18         ,3.42       ,3.15            ,3.72         ,0.66           ,0.22    ,2.23        ,2.06          ,0.96            ,29.73          ,1      ,34       ,1       ,101
A35.TXT  ,0.14         ,4.32           ,0.68           ,1.62           ,1.04        ,0.41       ,4.14       ,4.73           ,0.27             ,0.23         ,3.42       ,3.47            ,4.01         ,0.54           ,0.14    ,0.81        ,1.26          ,0.45            ,31.68          ,1      ,35       ,1       ,101
A36.TXT  ,0.04         ,2.52           ,0.57           ,1.77           ,1.9         ,0.4        ,2.78       ,2.78           ,0.62             ,0.35         ,3.27       ,3.05            ,2.52         ,0.84           ,0.13    ,1.41        ,0.97          ,0.53            ,26.45          ,1      ,36       ,1       ,101
