"u1","u2","u3","u4","u5","u6","u7","y"
0.26890035,0.65089438,0.83274183,0.58342045,0.78475930,0.84307935,0.82207920,0.18029533
0.26848250,0.65013964,0.85215319,0.57751002,0.77648749,0.83860539,0.82207920,0.17712402
0.26796671,0.65965652,0.82361800,0.57159959,0.76454632,0.80787913,0.78624615,0.17361771
0.26745093,0.66833758,0.80837106,0.56568943,0.75260515,0.79960565,0.78624615,0.17164039
0.26693514,0.64719141,0.76194846,0.55977900,0.74532558,0.77312176,0.74614159,0.16697247
0.26641935,0.63366494,0.77462131,0.55508364,0.75605897,0.81134063,0.78637285,0.16367888
0.26590356,0.65401213,0.77442026,0.55176194,0.76679367,0.85166111,0.82079480,0.16024870
0.26538841,0.67228673,0.77399669,0.54843996,0.76124364,0.80560537,0.82207920,0.15824240
0.26347663,0.63933733,0.76210002,0.54511799,0.75324913,0.81117475,0.78900240,0.15704430
0.25270868,0.66221558,0.77037209,0.54179601,0.74525461,0.81316370,0.78900240,0.15479179
0.24194074,0.65263973,0.75952555,0.53847403,0.72511523,0.80074801,0.78900240,0.15476790
0.23117215,0.62835812,0.73648000,0.53515206,0.70319636,0.77465534,0.74215995,0.15598922
0.22040421,0.64368891,0.67717660,0.53183008,0.68127749,0.72846345,0.72009428,0.15584463
0.20963626,0.62204892,0.54615287,0.52850811,0.68163628,0.72187691,0.70129169,0.15703897
0.20081381,0.62629731,0.39974908,0.52518641,0.68525832,0.74914480,0.71750639,0.15915777
0.20464120,0.66604385,0.41583856,0.52186443,0.69710881,0.80729856,0.75426282,0.16383627
0.20846859,0.64667252,0.39353121,0.51854245,0.71016445,0.81203543,0.79776931,0.16700677
0.21229597,0.64348843,0.40741532,0.51522048,0.72322009,0.78856079,0.76860472,0.17250859
0.16221304,0.64801691,0.40327008,0.51189850,0.73032224,0.79221476,0.77153628,0.17834621
0.23296755,0.65005561,0.42117666,0.50857652,0.72738229,0.79106145,0.79391437,0.18713385
0.23410343,0.66856017,0.42502993,0.50525455,0.72444102,0.76578095,0.76576342,0.19605279
0.23523995,0.63906609,0.43341403,0.50193257,0.72150107,0.77440339,0.76640041,0.20504501
0.23637582,0.66292315,0.42831267,0.50167480,0.71879111,0.76979798,0.75872178,0.20952408
0.23751234,0.63818162,0.39763885,0.50487964,0.71698929,0.75037322,0.73341560,0.21723898
0.23864822,0.64491980,0.42705382,0.50808447,0.71518878,0.78046727,0.76908724,0.22518005
0.23978473,0.66890363,0.41247871,0.51128958,0.71338696,0.79760105,0.78425185,0.23545468
0.24092061,0.65813818,0.34141101,0.51449442,0.71158514,0.75763110,0.76273293,0.24100650
0.24205712,0.63964394,0.41901848,0.51769925,0.70714302,0.81610410,0.79727117,0.24419737
0.24319300,0.68228859,0.36660515,0.52090408,0.69927073,0.75726961,0.77451297,0.24873731
0.24432951,0.62778027,0.26455133,0.52662278,0.68626766,0.75167832,0.72477193,0.25090010
0.07280622,0.64301672,0.29756288,0.53518217,0.70917746,0.78023567,0.79339019,0.24885268
0.13205885,0.64728575,0.14761046,0.54374157,0.70422278,0.79172496,0.76959753,0.25192147
0.14003798,0.66483066,0.20091353,0.55230124,0.73735078,0.82623038,0.80774598,0.25753295
0.13542133,0.66495153,0.22386432,0.55197965,0.73233565,0.82892822,0.82702241,0.26421490
0.13080404,0.66648461,0.28040409,0.54943788,0.72732052,0.81315901,0.81331230,0.27009967
0.11080979,0.66414962,0.34874576,0.54689612,0.72095566,0.77512480,0.75972153,0.27675261
0.05540490,0.63762441,0.27286100,0.54435408,0.68125121,0.74390404,0.73167125,0.27988109
0.00000000,0.63355880,0.19718420,0.54181231,0.68607446,0.74017182,0.72285054,0.28342946
