"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11"
1.2628374e+000,1.3677407e+000,2.5093899e-001,1.1943854e+000,-4.2628054e-001,1.0420237e+000,1.4141846e+000,1.4196362e+000,7.1424312e-002,7.2709522e-001,4.8022332e-001
4.6695209e-001,1.9356261e-001,3.0207029e-001,-6.6264191e-001,-1.3085752e+000,-1.3248037e-001,-1.5331277e+000,1.1797222e+000,8.0968697e-001,-2.8225901e-001,-1.1873418e+000
3.8612811e-001,2.6779612e-001,1.3925505e-001,1.0092956e+000,-3.9202158e-001,-1.4201482e+000,1.0535929e+000,5.2698614e-001,1.8503789e-001,5.1232025e-001,-4.2822478e-001
5.3615531e-001,5.7280648e-001,6.0499235e-001,-1.0282786e+000,4.6223844e-001,-1.0464956e-001,-1.4391623e+000,-6.3696667e-001,-1.2045363e+000,3.7346744e-001,-1.6895466e+000
-1.5182069e+000,-1.3548552e+000,-6.4879061e-001,1.1055113e+000,7.3048348e-002,-7.8248757e-001,1.7426755e+000,-1.2454149e+000,7.9441651e-001,1.9358877e-001,1.3583252e-001
3.4158334e-001,1.4409847e-001,1.0692397e-002,-1.1292192e+000,4.3804351e-001,-4.7818123e-001,1.6248038e+000,1.1075689e+000,8.0266239e-001,-1.2593986e+000,-6.4595313e-001
8.1968371e-001,1.2500012e+000,8.7328405e-003,-1.6368443e+000,-7.0057416e-001,-1.3873220e+000,-2.7229361e-001,-7.2529100e-002,8.8658908e-001,5.7112204e-001,-2.0832896e+000
1.2069775e+000,6.0103120e-001,1.7191971e+000,-1.4035960e+000,-1.5191202e+000,-8.4598333e-001,-3.8874146e-001,2.5818650e-001,-9.3030045e-001,-1.5769929e+000,-2.1565794e+000
-2.0595823e-001,-4.2369847e-001,-1.3615672e-002,4.3019179e-001,6.3498618e-001,-2.9789958e-001,7.3844631e-001,-1.4098879e+000,-1.2318498e+000,-8.9593753e-001,1.0141124e+000
-1.3988654e+000,-1.3697701e+000,-4.0504887e-001,-2.5279054e-001,1.1553919e+000,1.1551788e+000,1.7343852e+000,1.4119079e+000,1.0636010e+000,1.2073830e+000,-7.7086533e-002
-8.0189458e-001,-9.7225702e-001,9.8366341e-001,1.4044383e+000,1.4998419e+000,-2.4720385e-001,-2.9030629e-001,1.4834984e+000,-2.6028493e-001,1.5010586e+000,1.3480914e+000
1.2138319e-001,-7.6433094e-002,4.4978049e-001,2.5749125e-001,-1.7547166e+000,-7.8453858e-001,6.6224875e-001,-8.0563166e-002,1.9571360e-001,-1.4715697e+000,-2.8043311e-003
1.8014480e-002,-7.5641726e-001,1.5265332e+000,-5.0571118e-001,9.4158142e-001,1.5458099e+000,-1.4499128e+000,2.0620022e-001,-5.3581125e-001,-1.2630978e+000,1.3358615e+000
2.2902952e-001,5.4202866e-001,-2.0951663e-001,-1.1149962e+000,1.3156910e+000,1.2531397e+000,-1.2613336e+000,5.5464749e-001,-2.6508665e-001,1.0340983e+000,-1.0873614e+000
-4.8377650e-002,2.6266122e-001,-1.0464009e+000,3.0063995e-002,-6.0713281e-001,-2.4300091e-001,8.9649810e-001,-1.1527803e+000,8.8917834e-001,-1.8037693e-001,7.8754200e-002
2.7293157e-001,5.6873036e-001,-4.6544256e-001,1.5265940e+000,6.6653932e-001,-6.7681426e-001,5.0510240e-001,-1.0350355e+000,-3.7253184e-001,4.6676394e-001,-2.2071045e-001
-1.1898440e+000,-6.5944702e-001,-1.5584795e+000,6.7937303e-001,-4.9561108e-002,1.2464621e+000,-1.2121794e+000,7.9073962e-001,1.5980773e+000,1.0408701e+000,1.1741630e+000
2.0366436e-001,2.7463452e-001,3.7128196e-002,-1.0284914e+000,-1.0434309e+000,4.2166623e-001,1.4738589e+000,-3.6534494e-002,-7.0328735e-001,9.6955661e-001,-9.4792958e-001
-1.0696832e+000,-1.0009667e+000,-4.0068425e-001,1.1832241e+000,1.0952018e+000,-1.3065590e+000,4.1425343e-002,-1.3839715e-001,-3.6315882e-001,6.2421282e-001,6.8094278e-001
1.3904353e+000,1.3355456e+000,5.8372484e-001,5.6527781e-001,-1.3343020e+000,-1.3872760e+000,-7.1277928e-001,2.6620379e-001,1.6417915e+000,9.1928578e-001,4.2709661e-001
1.6125383e+000,1.4187973e+000,5.3765603e-001,1.8818170e-001,7.1288193e-001,-5.8314421e-001,3.4807356e-001,-1.1764964e+000,-1.0637919e+000,6.8375639e-002,1.2484107e+000
1.2468512e+000,1.1990384e+000,8.2091308e-001,-1.2007326e+000,2.1720415e-002,1.4473483e+000,8.2502556e-001,-1.4946791e+000,-1.4024215e+000,8.9502528e-001,-7.9155932e-001
1.5862686e-001,-1.6451747e-001,1.2025627e-001,1.4452412e+000,-1.3265631e+000,-1.6630635e+000,-5.8555110e-002,9.3840614e-001,1.6943847e+000,1.3237314e+000,7.7508762e-001
8.9340404e-001,1.1562325e+000,3.0566466e-002,-2.4887896e-001,6.2776105e-001,1.6988151e+000,-9.6221469e-001,4.6815637e-001,6.2317896e-001,-1.5940269e+000,-1.4548842e+000
-1.2104668e-002,4.7628217e-001,-7.5687239e-001,4.2297988e-001,2.0009140e-001,-2.9246438e-001,8.6105585e-001,1.7448042e-001,2.8026592e-001,8.4090622e-001,6.2868494e-002
-5.2768146e-001,-1.0549293e+000,6.9243284e-001,-1.1906770e+000,-8.0494296e-001,1.3983899e+000,1.3426281e+000,-4.1317081e-001,4.2155156e-001,9.6536125e-001,-1.5274828e-001
1.1278730e+000,2.8993369e-001,1.8337847e+000,-8.7179134e-003,-1.6279080e+000,-9.4151380e-001,-1.1017078e+000,-6.1279995e-001,-1.4095195e+000,3.6429675e-001,-1.2847638e+000
1.9832436e+000,1.5005208e+000,1.7550511e+000,-1.7497269e+000,-6.1423715e-001,5.6175915e-001,1.1617662e+000,9.9442013e-001,3.5384675e-001,1.6117364e+000,-3.1171198e-002
9.3010083e-001,1.6270533e+000,-8.4081848e-001,8.4530299e-001,-4.8192416e-001,-1.4472733e+000,-1.0322652e+000,1.3605767e+000,1.2309109e+000,-6.4969347e-001,8.0488789e-002
1.2940680e+000,8.5524570e-001,1.2282996e+000,-1.3535851e+000,-1.7385087e+000,2.7777925e-001,-1.1844895e-001,4.2959926e-001,9.9472623e-001,-3.7596964e-001,-2.0433099e+000
-3.4679541e-001,-4.3862295e-001,1.9777212e-001,9.4928815e-001,2.3182960e-001,1.1617232e+000,-7.3886684e-001,-9.3390117e-001,-1.0572103e+000,5.8661382e-001,1.0555617e+000
7.3532638e-001,1.1393449e+000,-6.8838256e-001,-1.6673156e+000,-2.1302915e-001,8.7651400e-001,3.4022099e-001,1.4079265e+000,-1.5044873e+000,-1.6840298e+000,-2.2784080e+000
9.9103549e-001,1.1944174e+000,5.3764783e-002,-7.7095644e-001,-1.0744516e+000,1.3745158e+000,-1.5405795e+000,-2.0591032e-001,6.6924156e-001,-4.1540711e-001,-1.5815177e+000
5.5280252e-001,1.5097173e+000,-9.5682655e-001,-9.7618199e-001,-4.3694324e-001,1.5696890e+000,-7.1748887e-002,4.9887410e-001,-4.1436977e-001,8.9717497e-001,-1.6924666e+000
-7.0643094e-001,-2.0233585e-001,-1.4987860e+000,7.4244694e-001,-1.5643242e+000,1.3128958e+000,-1.3831673e+000,1.0834420e-001,1.7575751e+000,1.2051242e+000,1.2729129e+000
1.2974610e+000,1.2082482e+000,6.0249715e-001,-5.9065646e-002,-4.5235983e-001,-4.5643167e-001,-6.1692634e-002,6.7059216e-001,9.2829080e-001,9.7528345e-001,-4.0625996e-001
1.3359017e+000,1.2845808e+000,1.1069518e+000,-8.0700199e-001,-1.2813395e+000,1.4614075e+000,3.7735260e-001,1.4002469e+000,4.9126980e-001,1.0763459e+000,-4.6796754e-001
1.4757600e+000,1.5078955e+000,8.8525852e-001,-4.7314999e-001,4.2277031e-001,1.4043867e+000,-3.9004492e-001,1.2549683e+000,-1.3171876e-001,-1.5462197e+000,5.9145984e-001
4.0378052e-002,-2.4536454e-001,8.2794332e-001,-1.6132708e+000,-1.5058482e+000,1.6714249e+000,-7.1164008e-002,-1.5463341e+000,-8.8482118e-001,-4.0515185e-001,-2.2646124e-001
9.2365503e-001,5.1296600e-001,7.1846850e-001,6.0181306e-001,-6.5498601e-001,7.7192869e-001,1.2080185e+000,1.9555404e-001,1.4959464e+000,2.3454175e-001,-1.6058271e+000
1.1729565e+000,9.7182901e-001,4.5094265e-001,1.1340370e+000,2.8776212e-001,-4.6674942e-002,3.9427084e-001,-5.7029059e-002,-4.8731013e-001,8.5108200e-001,-8.6694107e-001
-1.0094910e+000,-1.5982118e+000,4.5647455e-001,1.5660208e+000,1.3426073e+000,-1.0679816e+000,1.9450371e-001,3.1700644e-001,-1.0700608e+000,6.0336368e-001,3.3617152e-001
-2.4494220e-001,-8.3754778e-002,-4.0981840e-001,1.6684065e-002,-1.0387819e+000,-8.1736382e-001,7.2464523e-001,1.1318505e+000,1.8729486e+000,-1.6224820e+000,6.4941821e-001
-1.0678591e+000,-1.3794158e+000,4.7398185e-002,-1.4575879e+000,1.5028523e+000,-8.8503565e-001,-3.2167816e-001,-1.5996281e+000,-6.3129704e-002,-7.8133698e-001,-5.3811628e-001
-1.1169889e+000,-8.5508527e-001,-7.7392562e-001,-1.4903019e+000,1.0683582e+000,-4.7576965e-001,-1.4312349e+000,-1.3590456e+000,-1.2613695e+000,-8.9322728e-001,-1.8491339e-001
-7.0798934e-002,-6.7108748e-001,9.1884016e-001,-7.4832246e-001,4.9954761e-001,1.2839290e-001,8.5260609e-001,-9.1877089e-001,-1.3178693e+000,-1.6196603e+000,6.5755114e-001
5.0872350e-001,8.7740400e-001,-7.4940925e-001,1.3751755e+000,4.3686714e-001,7.3734782e-001,9.8141960e-002,1.3589173e+000,1.8437341e+000,1.0490171e+000,-8.8408378e-001
1.1156384e+000,1.5656642e+000,-7.4553633e-001,-5.1147270e-001,-5.3364490e-001,-1.5687866e+000,8.7170705e-001,1.5278804e+000,8.4880714e-001,-1.4429058e+000,-2.1972565e-001
-1.3031276e+000,-1.3791380e+000,-1.0210480e-002,-1.2723481e+000,-1.7694192e-001,-1.1885543e+000,-1.1870278e+000,1.4347718e+000,1.5425057e+000,-1.0472355e+000,-8.6108031e-001
-4.2829697e-001,-3.0959211e-003,-1.2501961e+000,1.2209303e+000,-9.6069742e-001,1.7005637e+000,-1.2897985e+000,-1.5931179e+000,-6.5403507e-002,-1.2068125e+000,1.4988852e+000
9.5160796e-002,-3.7481541e-001,5.3239615e-001,5.4260167e-001,-1.4019933e+000,1.2588277e+000,-6.6946570e-001,-1.1289276e+000,-2.1629197e-002,-2.7462759e-001,5.9321276e-001
1.5191256e+000,1.5971405e+000,1.1026807e+000,-1.6250860e+000,2.9250373e-001,1.6452885e+000,1.5009014e+000,-9.9967798e-001,2.8879176e-001,1.1567672e+000,2.4192374e-001
-3.7633983e-001,2.7063078e-001,-9.3975283e-001,-6.3273757e-001,-4.9099813e-001,-7.2442358e-001,-1.6881046e+000,1.5461911e+000,1.6124717e-001,-4.0891189e-001,2.7590617e-001
1.5917184e-001,-2.7276894e-001,7.3134980e-001,1.4425188e+000,5.8442485e-001,-1.5895065e+000,1.3601651e+000,-1.0903396e+000,-1.1963675e+000,-8.4630112e-001,1.4677270e+000
1.1973529e-001,-1.9091022e-001,4.2974759e-001,1.9411055e-001,-1.3738221e-001,1.0563942e+000,5.8857396e-002,-4.2533455e-001,7.3574804e-001,-1.1915647e+000,7.3203939e-001
-1.9183001e-001,-2.5790691e-001,-9.0619336e-003,-7.8578998e-002,9.9988671e-001,-1.0919857e+000,-3.3237509e-001,-1.3733939e+000,1.8939832e-001,1.3374347e-001,8.1638351e-001
6.9525404e-001,1.3645634e+000,-5.6254187e-001,2.3903738e-001,1.2292203e+000,1.3896929e+000,1.1273808e+000,-7.0681179e-002,-1.0904338e+000,-1.2035223e+000,-9.5900513e-001
-1.9737869e+000,-1.5087527e+000,-1.5437001e+000,6.8279049e-001,1.4089396e+000,1.4452181e+000,-4.0993528e-001,-1.5586532e+000,3.0208918e-001,-1.0012303e+000,9.6926855e-001
-5.3429666e-001,-1.0015322e+000,8.0331456e-001,4.4139734e-001,-3.1338042e-001,1.4094398e+000,-9.2557245e-001,-8.5118324e-001,1.9090333e+000,1.4288534e+000,6.1470403e-001
1.5067982e+000,1.6003205e+000,9.7966962e-001,1.2872960e+000,-2.8246402e-001,-1.1304150e+000,9.3985307e-001,-8.0615143e-001,-1.0744861e+000,1.5445122e+000,1.4578016e+000
-8.3630171e-001,-4.5018650e-001,-7.4526933e-001,1.3887368e-001,-1.7750561e+000,-6.2153270e-001,2.6989014e-001,-5.5378244e-002,-7.6542998e-001,-6.0385204e-001,3.8346728e-001
-1.3472383e+000,-8.9953681e-001,-1.3767659e+000,1.5082527e+000,-3.8253047e-001,4.2897585e-001,-1.6500661e+000,-7.7412877e-001,-5.5644988e-001,-2.5275127e-001,9.5740032e-001
1.1769466e+000,7.6586144e-001,1.5603257e+000,2.6217009e-001,1.3424115e+000,5.1022142e-001,1.3238922e+000,-1.9903202e-001,-5.0372611e-001,1.1481660e+000,-1.0277250e+000
-1.0000643e-001,-4.3657295e-001,2.8808346e-001,1.5284272e+000,-6.9672158e-001,1.3836912e+000,1.1979371e+000,-8.2912720e-001,8.8755756e-001,-1.0588566e+000,1.1755977e+000
