"oz1","oz2","oz3","oz4","oz5","oz6"
-1.2001010e-001,-5.8905918e-001,-8.1734223e-001,-1.6651255e+000,-8.5443776e-001,4.5624809e-001
-7.5446030e-001,-2.2802115e-001,3.4469040e-001,4.9737376e-001,-2.6286339e-001,1.0171543e+000
-7.2475589e-001,-1.1513026e+000,-9.6094930e-001,-6.3827936e-001,-9.2742268e-001,6.3946343e-002
-6.4276842e-002,-1.9966219e-001,8.1944465e-001,1.5236677e+000,2.8333226e-001,1.3731792e+000
1.1721675e+000,1.6514701e+000,-1.2117972e+000,-1.2269559e+000,-1.1267472e+000,-1.3038461e-001
7.2676450e-001,8.7132553e-001,-7.0259344e-001,-9.3426909e-001,-8.0389755e-001,-2.2662037e+000
-3.1211676e-001,-7.0016588e-001,-6.0244238e-002,-1.5208273e+000,-4.4376479e-001,-6.1982684e-003
-2.3147366e+000,-1.5640815e+000,-1.3246721e+000,8.9460758e-001,-7.2033199e-001,3.8080382e-001
2.6705938e-001,-6.3744888e-001,-4.4892570e-001,1.8449670e-001,3.5215190e-003,1.1947679e+000
3.1756332e-001,1.7041542e-001,5.0254993e-001,-1.8965285e-001,1.5874138e-001,-3.2351336e-001
-7.3335778e-001,-5.0521056e-001,-3.3626343e-001,1.0491452e+000,-4.7295911e-001,8.3697579e-001
1.4825868e+000,1.3697585e+000,-2.1457858e-001,-6.6175414e-001,-2.1393654e-001,-6.2830048e-002
-3.9500116e-002,-3.5195003e-001,4.4349619e-001,1.2881342e+000,2.5818790e-001,1.6819537e+000
7.4165448e-002,-1.0916363e-001,5.4884155e-001,1.4458436e+000,3.9805498e-001,1.3476339e+000
2.1175364e-001,6.3354403e-001,7.3609583e-001,9.5718092e-001,5.3360312e-001,-2.4737260e-001
-3.1625076e-001,-3.4584452e-001,-2.6693099e-001,-1.1617405e+000,-4.8216364e-001,5.1606630e-001
1.8431750e+000,1.4209824e+000,2.5961173e+000,1.3585211e+000,3.3927097e+000,2.8611414e+000
1.4890931e-001,-5.0095801e-001,-5.7546418e-001,-1.3513902e+000,-4.4647390e-001,5.2354041e-001
4.1635290e-001,-1.0941460e-001,-1.1745502e-001,-9.2319219e-001,-1.2355286e-001,8.8905041e-002
4.5760299e-001,-2.9253470e-001,-6.7313202e-001,-1.3251202e+000,-5.5042446e-001,4.8784481e-001
-1.2904133e+000,-1.1611687e+000,-7.4067890e-001,1.1489985e+000,-7.1777221e-001,8.9910909e-001
1.0670489e+000,1.1949911e+000,8.2430083e-001,1.3556745e-001,9.8817300e-001,-1.1642221e+000
-9.5751806e-001,-7.3913479e-001,-7.3286739e-001,-1.0714140e+000,-8.7833138e-001,-2.8257448e-001
2.3373969e+000,1.7435785e+000,8.2435653e-001,6.0457876e-002,1.8551173e+000,1.1545989e-001
2.9298347e-002,4.8333236e-001,-8.6638516e-001,-1.6652321e+000,-7.0436707e-001,-6.0001055e-001
-1.1564132e+000,-1.4805304e+000,-1.1420317e+000,1.5287961e-002,-7.6404598e-001,8.8287799e-002
-1.2867731e+000,-1.5618155e+000,-7.4716271e-001,8.8898330e-001,-1.1464970e+000,-9.0989086e-002
-5.7060442e-001,-1.3963975e+000,-7.3555519e-001,-1.1728871e+000,-6.8632361e-001,-6.1703983e-001
-6.0405923e-001,-1.7613437e-001,6.3703501e-002,2.8853967e-002,-1.6765923e-001,9.7401427e-001
-1.3482710e+000,-1.1267207e+000,-5.4603565e-001,1.6285106e-001,-7.9676814e-001,-9.4294126e-002
-1.4677134e+000,-1.5979710e+000,-7.2444776e-001,-5.0097794e-001,-7.0220939e-001,-5.7902839e-001
2.3003377e-002,-1.2867503e-001,-2.0372324e-001,4.3027271e-001,-3.2105900e-001,1.2160877e+000
1.2704068e+000,6.9548908e-001,6.7247290e-001,7.1215113e-001,6.4372206e-001,-1.6505056e+000
-4.4155474e-002,7.5257867e-001,4.3348834e-001,6.0394459e-001,4.2841022e-002,-5.5635167e-001
-4.6236849e-001,-3.6101495e-001,1.0198509e-001,-1.2557330e+000,3.5082915e-002,3.9960489e-001
9.1153836e-001,3.8682019e-001,1.4049538e+000,1.4864219e+000,1.1865012e+000,-3.4114442e-001
-1.5056792e+000,-1.3894508e+000,-2.8007476e-001,3.0102523e-002,-8.2054051e-001,-4.6327896e-001
1.0677873e+000,6.9106889e-001,1.1852262e+000,1.3683349e+000,1.3013975e+000,-9.7365194e-001
4.8787000e-002,2.8117368e-001,4.6292772e-001,-6.6525501e-001,9.3413288e-003,-1.6914463e-001
-9.6693484e-002,5.8349327e-001,-5.7067398e-001,-7.6801688e-001,-5.6839003e-001,-4.2037756e-001
-8.8179756e-001,-1.6090913e+000,-8.7231228e-001,4.6054408e-001,-7.9591127e-001,-7.3605989e-002
-4.7870748e-001,2.2507835e-002,5.0564941e-001,1.9607029e-001,-4.1364309e-002,7.1769350e-001
6.4642196e-001,1.1547545e+000,4.4808002e-001,-8.2807189e-001,5.0110487e-001,-2.0481685e+000
2.3389511e-001,9.2713399e-001,-1.0306975e+000,-1.5852636e+000,-8.8148812e-001,-1.4346531e+000
-7.0879766e-001,-5.5794131e-001,-2.9531507e-001,5.7469620e-001,-6.8854019e-001,6.7998307e-001
-9.1646912e-001,-8.7662547e-001,-1.9652463e-002,5.3361326e-001,-2.6285870e-001,3.9770309e-001
-1.4080685e+000,-1.6109358e+000,-1.0333416e+000,-1.3494899e+000,-9.6422621e-001,-8.4004621e-001
-8.2390700e-002,-1.3126228e-002,-5.0417997e-001,-1.3087884e+000,-2.9761553e-001,3.4468388e-001
3.5680675e-001,-3.5517871e-002,1.8424758e-001,4.8340779e-001,7.4986537e-002,5.1817837e-001
-1.5053219e+000,-8.1317086e-001,-9.9434062e-001,1.5782895e-001,-7.7080620e-001,3.2879171e-001
7.2275320e-001,3.3276543e-001,-3.5672722e-001,-8.5079722e-001,-2.5358815e-001,-1.2002858e+000
-1.2493069e+000,-1.4273399e+000,-5.4530587e-001,-3.4838903e-001,-7.1938672e-001,-4.9864673e-001
-1.3250618e-001,2.3490152e-001,-6.8900926e-001,-1.1885535e+000,-7.3267476e-001,-3.0662619e-002
-1.3404777e+000,-6.5533028e-001,-1.1634657e+000,-9.2442914e-001,-6.8852470e-001,5.2361803e-001
-5.0369062e-001,-3.5639099e-001,-1.7754330e+000,-9.4962935e-001,-1.1775929e+000,1.5332252e+000
-9.8603769e-001,-8.5256404e-001,-6.5119110e-001,-1.1017298e+000,-4.8900097e-001,2.2538194e-001
-7.2695280e-001,-1.3627805e+000,-6.5246949e-001,5.8370113e-001,-8.0558214e-001,2.3876498e-001
-9.9495769e-001,-1.4165463e+000,-1.2623287e+000,-1.6154272e+000,-8.9525700e-001,-2.8519972e-001
1.1504866e+000,1.3680621e+000,7.4854450e-001,-2.6428310e-001,7.0075753e-001,-8.3861493e-001
3.6385368e-002,3.0194810e-001,-1.0877942e+000,-4.5005962e-001,-1.0724681e+000,2.6548168e-002
1.6955472e+000,1.5023601e+000,-1.0793234e+000,-1.2775641e+000,-8.3668292e-001,5.8760905e-001
1.2052549e+000,1.3036602e+000,1.4650737e+000,8.7824511e-002,1.8547209e+000,-3.0549531e-002
-1.2332637e+000,-1.3062124e+000,-2.6771170e-001,-5.6047094e-001,-5.3353511e-001,-3.0652794e-001
-1.7927944e+000,-1.5660028e+000,-1.4270039e+000,1.3365950e+000,-9.0995263e-001,4.8014816e-001
1.8484687e-001,-8.6227802e-002,-1.2992749e-001,-6.1286728e-002,1.5593643e-003,7.2134937e-001
4.6679220e-001,3.1018605e-001,5.9628208e-001,3.8386376e-001,2.3105481e-001,-4.6832126e-001
1.1780365e+000,1.3316968e+000,1.0869025e+000,3.8546143e-001,1.0291151e+000,-2.6509912e-001
-1.5109754e+000,-8.2772014e-001,-6.7278184e-001,-1.1903211e-001,-9.0625856e-001,-5.7071931e-002
7.0281291e-001,1.5100659e+000,-4.6916661e-001,-1.2847140e+000,-3.3033181e-001,-1.7291794e+000
4.9984294e-002,7.5842289e-001,1.1693718e+000,7.8339064e-001,6.4941091e-001,-1.7991390e-001
1.0294490e+000,8.1309549e-001,-1.9851847e-002,-1.0201596e+000,1.5902449e-001,-2.2826592e+000
-9.7550962e-001,-2.2912363e-001,4.0863244e-001,1.6690153e+000,-5.0953148e-001,1.1200205e+000
8.4062755e-002,9.3324133e-001,1.2692179e+000,4.5026891e-001,7.9020995e-001,-8.2113594e-001
-5.5907123e-002,5.5134067e-001,-4.3845901e-001,-7.6536873e-001,-6.8199416e-001,-7.2895986e-001
1.9576588e-001,2.5028957e-001,-1.5213403e+000,-2.8349718e-001,-1.0437822e+000,4.2960373e-001
8.3085018e-001,3.9415607e-001,1.5901956e+000,8.5043587e-001,1.1670356e+000,-7.8094157e-001
-1.2491272e+000,-9.3718099e-001,-7.9044320e-001,6.8702164e-001,-4.9507929e-001,8.3130293e-001
-6.7370191e-001,-1.3384902e+000,-8.0216180e-001,-3.8752157e-001,-7.6781708e-001,-2.5932343e-001
2.5304390e+000,1.6540581e+000,2.0222387e+000,1.2565764e+000,3.8303474e+000,1.6354025e+000
-8.4537560e-001,-1.1437392e+000,-5.5800011e-001,-1.2479311e+000,-7.6923833e-001,-3.3705020e-001
-8.3511227e-001,-4.3412320e-001,-3.6535070e-001,-1.6460641e+000,-7.3430740e-001,-1.4157289e-001
-1.0525834e+000,-1.3789925e+000,-1.0014279e+000,-6.6010513e-001,-8.5242382e-001,-3.8866956e-002
3.0799540e-001,8.2922770e-002,2.0372109e-002,1.1837205e+000,-9.8092503e-002,6.6282652e-001
-4.1718060e-001,-1.1816658e-001,1.0533558e-001,5.0230410e-001,-2.7269657e-001,1.1536736e+000
-3.0658957e-001,-1.9543352e-001,-4.5156883e-001,1.1207941e-001,-8.7398842e-001,7.2600759e-001
-1.1395985e+000,-1.0250031e+000,-1.1592235e+000,-9.0135606e-001,-8.4015020e-001,2.4218519e-001
-2.0327868e-001,6.7174842e-001,4.7162677e-001,3.0345979e-001,-1.0848475e-002,2.0964036e-002
-2.2211192e+000,-1.4645961e+000,-5.0407875e-001,-1.7692057e-001,-8.6489503e-001,-6.4104534e-001
2.5489750e-002,-1.0626744e-001,2.2701618e-001,8.6623761e-001,-1.4144270e-001,1.0610133e+000
-2.1032690e+000,-1.6509955e+000,-1.4072912e+000,-1.6226331e+000,-1.0334709e+000,-9.0279487e-001
1.0170313e+000,1.3974519e+000,1.9432586e+000,3.2614232e-001,1.7446963e+000,-2.5693355e-001
1.1175488e-001,2.2842571e-001,-3.2020919e-001,4.2168133e-001,-7.6907950e-001,3.7040009e-001
3.3502908e-001,1.6876445e-001,-8.3398902e-001,-1.2169145e+000,-7.6807365e-001,-3.7073630e-001
-1.4405265e-001,-3.1432478e-001,-1.3123127e-001,1.1696615e+000,6.5950462e-002,1.4121311e+000
3.3184272e-001,-3.7462251e-001,3.2792189e-002,1.2615241e+000,1.9813679e-001,1.5246226e+000
8.2243668e-001,1.1840483e+000,1.5809843e+000,5.4833763e-001,1.5792276e+000,-9.4068191e-001
1.0175280e+000,1.4804452e+000,2.7598613e+000,1.3419812e+000,2.5749852e+000,1.1222856e+000
-2.3220885e-001,-1.4000650e-001,-8.1733556e-001,-1.6763012e+000,-6.1438373e-001,3.9878417e-001
6.7805000e-001,1.7794314e+000,-7.0940978e-001,-1.3747995e+000,-4.1301526e-001,-1.2220627e+000
2.7627951e-001,-4.3048091e-001,4.8881195e-001,1.2625893e+000,-4.1807062e-002,1.2211822e+000
1.1331569e+000,6.1540208e-001,1.4402223e+000,1.3170911e+000,1.0972226e+000,-8.2422877e-001
1.5458443e-001,-5.8213359e-001,4.3351962e-001,1.2938554e+000,-5.2041666e-002,1.3484842e+000
9.0094077e-001,6.7133568e-001,-4.5005224e-001,-4.6033647e-001,-5.8996031e-001,-2.0728064e+000
4.1869546e-001,2.6685537e-001,-5.7562578e-001,-7.9152293e-001,-7.4628668e-001,-9.5198926e-001
1.8970692e+000,1.7306149e+000,1.5726728e+000,1.5618569e-001,2.3570195e+000,1.7897047e+000
-4.0420746e-001,4.3355239e-001,-1.0208814e+000,-1.3074577e+000,-7.9845424e-001,4.3382059e-001
-2.7035754e-001,-9.2343900e-001,-4.3256410e-001,-5.9501920e-001,-3.8683120e-001,6.2627256e-001
-4.7832748e-001,-1.2828134e+000,-1.2991042e-001,8.5205801e-001,-2.7095960e-001,3.0734539e-001
2.6010235e-001,8.1686827e-001,-4.5801866e-002,-5.1666412e-001,3.1261343e-001,-1.4423666e+000
-2.2424560e-002,8.8661929e-001,-3.5102687e-001,-1.3632951e+000,-3.2901017e-001,-1.1653735e+000
-2.8096940e-001,-9.9819234e-001,-1.3899627e+000,-1.1979055e+000,-9.9942253e-001,6.0460676e-001
-1.2495696e+000,-1.6421786e+000,-1.2404104e+000,-1.4254957e+000,-9.2205489e-001,-6.5287833e-001
4.1061054e-001,6.3939504e-001,1.1113010e+000,-1.1853827e-001,4.7905163e-001,-1.2416508e+000
-3.9670638e-001,-7.8236151e-001,6.1522822e-001,8.6085354e-001,-2.2233083e-002,8.5488053e-001
9.1296040e-001,4.1707933e-001,7.3651908e-001,3.6180578e-001,1.2138829e+000,-1.1345854e+000
-1.3359377e+000,-1.1511821e+000,-1.1132045e+000,-4.0180458e-001,-8.5285209e-001,-6.0577108e-002
1.2081182e+000,8.8564389e-001,1.8828357e-001,2.1205423e-002,4.4089253e-001,-1.6989272e+000
3.6594251e-001,-1.4781265e-001,-7.1571058e-001,-1.3543723e+000,-7.5364948e-001,2.1209642e-001
-6.7637432e-001,-3.7273984e-001,-2.4198652e-001,-1.1504841e-001,-4.1826183e-001,9.5619947e-001
-2.2743289e-001,-2.3832908e-001,2.8596063e-001,5.3750286e-001,-1.6885414e-001,9.6724166e-001
6.7777041e-001,3.9862144e-002,8.1300477e-001,1.6874325e+000,6.1645735e-001,6.9697570e-001
-9.6897655e-001,-1.4438096e+000,-1.4259657e+000,9.0071464e-001,-8.3654277e-001,5.3635299e-001
1.1636621e+000,1.2178898e+000,1.6009174e+000,9.1958728e-001,1.4615679e+000,-3.2114196e-001
-1.2739549e+000,-1.2871681e+000,-5.6426940e-002,-1.3042188e+000,-7.8191930e-001,-1.2079522e+000
4.5691066e-001,-2.0513587e-001,-7.1671484e-001,-8.3252368e-001,-5.5467308e-001,2.9467190e-001
1.0960123e+000,8.5832194e-001,1.6849486e+000,1.0727106e+000,1.9225052e+000,-5.7308733e-001
-4.0116078e-001,-1.1861937e+000,-1.5593465e+000,-1.5469743e+000,-1.1387441e+000,1.1291132e-001
-9.0193185e-001,-7.7221114e-001,6.0008715e-001,5.1836379e-001,-2.8749563e-001,3.2393359e-001
-1.7290591e-001,-7.2856979e-001,7.4857309e-002,3.1763394e-001,-2.0297271e-001,9.6604315e-001
2.1172985e-001,7.4407361e-001,1.5691895e+000,3.7505780e-001,1.0822731e+000,-6.0917906e-001
-5.3502247e-001,1.6050480e-001,-1.0435671e+000,-1.3960032e+000,-6.9490055e-001,4.0407296e-001
1.6446990e+000,1.4241528e+000,2.0081311e+000,4.0378091e-001,2.5395858e+000,1.8908169e+000
-1.0083708e+000,-5.1388704e-001,-4.7497153e-001,9.8333738e-001,-7.2994581e-001,8.4990114e-001
4.6884646e-001,4.4963896e-001,-3.9316294e-001,-1.1650643e+000,-1.9140542e-001,-1.2945870e+000
-2.3627739e-001,-7.9328368e-001,-8.1498289e-001,3.3982571e-001,-4.8227387e-001,1.0416964e+000
-5.3924475e-001,-3.3902602e-001,-4.3795535e-002,7.7703470e-001,-6.1923088e-001,8.9926830e-001
8.8743438e-001,1.4965953e+000,-1.4267110e-001,-8.8219504e-001,-1.3586099e-001,-1.6423918e+000
5.8258833e-001,1.6476569e+000,1.5051432e+000,-1.1245573e-001,1.2306330e+000,-1.2263290e+000
-1.9303510e+000,-1.1706381e+000,-4.9196863e-002,1.0914673e+000,-1.0406876e+000,-4.0770031e-001
1.5937230e-001,8.0845898e-001,1.2402703e+000,9.6607846e-001,8.9142305e-001,-4.4917027e-001
