"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","oz26"
-6.4295948e-001,2.0265540e-001,1.6963588e-001,1.0187514e+000,-2.7075304e-001,-1.2893324e-002,-7.7878556e-001,5.5147546e-001,-1.4267011e+000,5.3508661e-001,1.6361325e+000,8.5548610e-001,1.4925562e+000,5.2779603e-001,-1.3956315e+000,-5.7715268e-001,-1.0578480e+000,1.3939943e+000,1.4641640e+000,6.2361151e-001,-6.6632269e-001,1.5265144e+000,1.2427567e+000,-5.8326272e-001,2.1468249e-001,9.9247569e-001
-1.0010719e+000,-1.6356339e+000,-5.1172747e-001,-1.9287795e-001,-5.4677305e-001,3.2689753e-001,4.0656029e-001,-1.6983204e-001,-8.0257525e-001,3.1258156e-001,-1.3139818e+000,-1.6006902e+000,-1.2097569e+000,-8.1320997e-001,-1.6528210e+000,2.0945911e-001,-1.9873352e-002,-6.6655543e-001,-1.1061980e+000,8.5934180e-001,-5.9482201e-001,8.5423488e-001,9.1012524e-001,-8.8160333e-001,2.4075905e-001,-6.1155612e-001
3.5100983e-001,-9.4592954e-002,5.5229059e-001,1.3366468e+000,4.6254457e-001,-1.5397641e-001,-8.1582290e-001,-1.6546107e+000,1.0791701e+000,1.4735357e+000,-1.0325706e-001,1.2311723e+000,1.3541304e+000,9.6480752e-001,5.5804204e-001,1.5215672e+000,1.5934459e+000,9.3417216e-001,1.5849288e+000,-4.3491611e-001,-1.7166954e-001,-1.5060578e+000,-1.0360720e+000,-4.0004383e-002,-6.2715064e-001,7.2215444e-001
7.6562171e-001,1.0283402e+000,-6.3412104e-001,-9.6556288e-001,-3.7251673e-001,-6.7329039e-001,-1.2434611e+000,3.1738493e-001,-9.9926582e-001,-5.7938593e-001,-6.0810698e-001,-1.3953101e+000,8.7815584e-003,1.6363401e+000,1.6839370e+000,-3.9067692e-001,-8.3402905e-001,6.6705421e-001,-7.1943850e-002,7.5769070e-001,-6.7111100e-001,1.3491668e+000,-3.8999859e-001,9.5218916e-001,1.2942992e+000,-2.0198283e+000
1.0986973e+000,9.8154880e-001,2.1421935e+000,1.6332938e+000,2.4979520e+000,5.8186605e-001,1.6010371e+000,-1.1373515e+000,1.5319917e+000,5.2809049e-001,1.4705384e+000,-8.3280148e-002,-9.3519939e-002,1.0939650e+000,1.0603273e+000,-1.0990479e+000,1.7136958e-001,1.6163054e+000,-4.7000298e-001,1.5071736e+000,-4.2038455e-001,1.0731260e+000,6.7845995e-001,-1.6213633e+000,5.5575947e-001,2.2242849e-001
1.7030413e-001,-2.9330994e-001,-2.8752891e-001,-3.3546295e-001,-2.7075229e-001,-1.1107293e+000,-1.7512258e+000,-1.5577411e+000,-4.4850954e-001,9.9167654e-001,-1.3126902e-001,-1.2403834e+000,-1.0858815e+000,7.0072103e-001,1.1054015e-002,1.5873511e+000,1.6602988e+000,1.4928958e+000,-1.6740173e+000,1.5191726e+000,1.0093136e+000,-3.6083734e-001,1.4345825e+000,7.8543827e-001,5.2518595e-002,5.9735649e-001
-8.9876871e-001,-3.6952931e-001,-7.6095599e-001,-1.4597899e+000,-1.0918890e+000,-9.3847232e-001,1.2429902e+000,-1.2321623e+000,1.7644060e+000,-1.6968600e+000,-7.9413700e-001,8.9165540e-001,9.5420112e-001,-1.2545666e+000,-6.3063083e-001,1.6243616e+000,1.5175963e+000,-1.2024380e+000,1.6981346e+000,5.2729184e-001,-1.5681821e+000,-1.2321977e+000,2.3683615e-001,-3.4011737e-001,-1.5975071e+000,2.1931747e-001
-5.2831464e-001,-5.0795992e-001,-1.7735561e-002,1.3963267e+000,-2.9338438e-001,1.9141498e+000,1.3328490e+000,8.5401258e-001,3.2877476e-001,6.6029974e-002,-1.7574704e-002,-1.2113574e+000,1.5124019e+000,-9.1073443e-001,-1.8223581e-001,1.2744771e+000,-8.7395471e-001,-5.8067228e-001,-5.3025034e-001,6.4874881e-001,-1.4579272e+000,1.2007839e+000,6.8876659e-001,-9.7772775e-001,-9.2275810e-001,1.2564511e+000
1.1927043e+000,6.4673878e-001,5.3600186e-001,1.0210842e-002,9.0156008e-001,-4.0398763e-002,4.0999822e-001,-8.4714343e-001,-5.1328168e-001,-1.1914739e-001,7.3395600e-001,1.5919071e-002,-1.5079314e+000,1.9462945e-001,3.3166494e-001,5.3430817e-001,-2.4079314e-001,-1.7096059e+000,-1.6563626e+000,1.8025695e+000,3.2032206e-001,-4.5973850e-001,2.0090112e-001,6.4849493e-001,-6.7859107e-001,-1.3952588e+000
2.3088804e+000,1.7602249e+000,1.7386447e+000,8.4037421e-001,3.0584715e+000,-1.0793896e+000,-9.4637176e-001,-1.3345341e+000,-1.5604058e-001,5.3392447e-001,-1.5475063e+000,-7.4548802e-001,8.9499375e-001,8.9200450e-001,9.3293108e-002,1.5151100e+000,1.5012631e+000,-9.3874516e-001,-1.0848165e+000,6.5643200e-001,1.4207366e+000,1.2291034e+000,-1.0715341e+000,1.1657656e+000,1.5509706e+000,9.1013376e-001
