"x","y","fus01","diplo01","temp","p_sum","r_sum","elevation","slope","hail","hail_new","age","ph","lithology","soil","year"
527056,4783545,0,0,16.071429,249.3,0.012555,131.169998,22.54171,0,1,26,4.390103,'Calizas impuras y calcarenitas',Histosols,2010
527162,4783785,0,0,16.028571,236.7,0.018553,128.050003,26.437279,0,1,29,4.390103,'Calizas impuras y calcarenitas',Luvisols,2010
577198,4779702,0,0,16.028571,236.7,0.018553,452.506989,57.109085,0,1,29,4.685569,'Margas descarbonatadas',Cambisols,2010
521125,4769435,0,0,12.585714,152.1,0.038919,230.580002,39.68787,0,0,17,4.707733,'Depsitos superficiales',Durisols,2010
561161,4789166,0,0,13.814286,163.4,0.056411,72.491997,27.707237,0,0,20,4.558394,'Margas descarbonatadas',Cambisols,2010
556017,4789766,0,0,13.714286,149.1,0.018303,248.809006,7.021429,0,0,22,4.427242,'Margas descarbonatadas',Ferralsols,2010
553854,4792696,0,0,13.657143,146.2,0.018303,156.001999,13.038779,0,0,22,4.258671,'Margas descarbonatadas',Luvisols,2010
545726,4795822,0,0,13.757143,145.7,0.020302,177.449997,3.624362,0,0,17,4.106246,'Margas descarbonatadas',Kastanozems,2010
539155,4795669,0,0,13.714286,144.4,0.03717,224.970001,15.052604,0,0,17,4.062076,'Margas descarbonatadas',Luvisols,2010
542229,4796189,0,0,13.871429,146.9,0.017928,133.690002,30.180882,0,0,17,4.106246,'Margas descarbonatadas',Luvisols,2010
540571,4793345,0,0,13.928571,157.1,0.042417,141.539993,12.09316,0,0,40,4.087397,'Margas descarbonatadas',Fluvisols,2010
539318,4797252,0,0,14.228571,166.6,0.038044,182.179993,31.693922,0,0,4,4.062076,'Margas descarbonatadas',Luvisols,2010
549731,4793760,0,0,14.2,163.7,0.031047,253.511002,12.681117,0,0,4,4.193628,'Margas descarbonatadas',Luvisols,2010
541451,4794086,0,0,13.728571,174.1,0.046166,181.529999,41.02647,0,0,16,4.106246,'Margas descarbonatadas',Luvisols,2010
538705,4794355,0,0,13.971429,151.5,0.038669,255.479996,16.279835,0,0,27,4.062076,'Margas descarbonatadas',Gleysols,2009
539919,4796605,0,0,13.957143,155.7,0.03617,142.75,9.113451,0,0,27,4.062076,'Margas descarbonatadas',Cambisols,2009
550251,4793636,0,0,13.842857,170.5,0.036795,172.436996,13.155144,0,0,10,4.173698,'Margas descarbonatadas',Luvisols,2010
544054,4795613,0,0,14.171429,169.8,0.050414,25.780001,20.550783,0,0,8,4.106246,'Margas descarbonatadas',Ferralsols,2010
539628,4793570,0,0,13.8,157.2,0.028299,214.139999,37.259174,0,0,2,4.087397,'Margas descarbonatadas',Luvisols,2010
532784,4798593,0,0,13.257143,173,0.049789,365.470001,32.35096,0,0,6,3.995886,'Margas descarbonatadas',Kastanozems,2010
526888,4773106,0,0,13.357143,156.5,0.05916,551.640015,23.936377,0,0,14,4.482755,Limolitas,Cambisols,2009
529496,4773906,0,0,13.357143,211.9,-0.027552,360.019989,61.294037,0,0,38,4.482755,Limolitas,Cambisols,2010
527594,4773949,0,0,14.328571,162.5,0.018303,296.380005,1.165968,0,0,1,4.482755,Limolitas,Cambisols,2010
517600,4784719,0,0,14.285714,164.4,0.032547,113.940002,8.864138,0,0,40,4.268432,Limolitas,Cambisols,2010
527492,4773802,0,0,14.3,165.1,0.026174,325.549988,10.462029,0,0,17,4.482755,Limolitas,Cambisols,2010
527533,4773834,0,0,14.942857,191.4,-0.063911,309.339996,34.868027,0,0,4,4.482755,Limolitas,Cambisols,2009
528852,4774103,0,0,15.157143,182.1,0.070905,599.830017,36.858192,0,0,10,4.394238,Limolitas,Cambisols,2009
528112,4774952,0,0,15.1,178.9,0.005309,420.679993,23.620537,0,0,14,4.394238,Limolitas,Cambisols,2010
526967,4769162,0,0,14.557143,156.6,0.04729,589.900024,7.262364,0,0,40,4.482755,Limolitas,Cambisols,2010
527896,4774746,0,0,15,176.5,0.060035,364.920013,22.989746,0,0,33,4.394238,Limolitas,Cambisols,2010
528118,4774955,0,0,14.585714,167.4,0.030423,422.540009,37.139191,0,0,7,4.394238,Limolitas,Cambisols,2011
528122,4774940,0,0,13.7,143.9,0.028548,425.579987,11.101422,0,0,7,4.394238,Limolitas,Cambisols,2009
523040,4775068,0,0,13.885714,156,0.018303,483.730011,22.181137,0,0,33,4.41778,Limolitas,Cambisols,2009
527847,4774934,0,0,13.685714,182.5,0.043542,318.190002,8.460209,0,0,16,4.394238,Limolitas,Luvisols,2009
527853,4774930,0,0,13.585714,181.8,0.032422,319.709991,24.180878,0,0,16,4.394238,Limolitas,Luvisols,2010
527858,4774976,0,0,14.642857,190.6,-0.058163,325.839996,60.212769,0,0,40,4.394238,Limolitas,Luvisols,2010
527868,4774874,0,0,14.185714,173.8,-0.004812,337.589996,22.49502,0,0,24,4.394238,Limolitas,Cambisols,2010
527873,4774819,0,0,14.571429,177.8,0.018928,354.369995,42.715511,0,0,11,4.394238,Limolitas,Cambisols,2010
527878,4774778,0,0,14.285714,178.8,0.042167,360.649994,15.919781,0,0,40,4.394238,Limolitas,Cambisols,2010
527883,4774985,0,0,13.957143,173.5,0.011681,334.119995,43.767521,0,0,16,4.394238,Limolitas,Gleysols,2011
527885,4774875,0,0,13.628571,213.1,0.050164,334.410004,31.307875,0,1,40,4.394238,Limolitas,Cambisols,2010
527885,4774903,0,0,13.914286,200.2,-0.089775,326.570007,32.696476,0,0,38,4.394238,Limolitas,Gleysols,2010
527896,4774998,0,0,13.314286,158.6,0.041668,335.579987,15.326254,0,0,3,4.394238,Limolitas,Gleysols,2010
527948,4774933,0,0,13.742857,196.4,0.035545,350.410004,20.886671,0,0,7,4.394238,Limolitas,Gleysols,2009
543735,4705539,0,0,13.785714,196.4,0.030298,434.940002,65.875702,0,0,40,5.772989,'Detrticos alternantes',Cambisols,2009
508171,4736228,0,0,15.042857,226,0.060285,547.22998,44.522434,0,1,9,6.018014,Margas,Cambisols,2009
508171,4736228,0,0,15.3,170.8,0.028923,547.22998,22.743599,0,0,11,6.018014,Margas,Cambisols,2010
572527,4792189,0,0,15.1,166.9,0.033546,88.708,34.284538,0,0,10,4.61071,'Calizas impuras y calcarenitas',Cambisols,2010
585849,4775059,0,0,15.614286,186.6,0.014804,604.877014,29.993248,0,0,4,4.808729,Pizarras,Cambisols,2009
586556,4787363,0,0,15.6,189.6,0.005683,44.731998,32.050507,0,0,13,4.603714,Pizarras,Cambisols,2009
595917,4793905,0,0,15.542857,177.8,0.017053,343.360992,37.880836,0,0,16,4.606751,Pizarras,Cambisols,2010
596198,4794236,0,0,15,168.3,0.016929,414.294006,39.036671,0,0,8,4.606751,Pizarras,Cambisols,2011
596360,4794459,0,0,14.942857,167.3,0.016304,307.962006,30.116209,0,0,16,4.606751,Pizarras,Cambisols,2011
596785,4793852,0,0,13.757143,145.9,0.025675,353.337006,18.445765,0,0,15,4.606751,Pizarras,Cambisols,2009
598543,4796324,0,0,13.942857,164.3,0.018303,214.457001,32.665676,0,0,40,4.606751,Pizarras,Cambisols,2010
599137,4796533,0,0,14.528571,181,0.039419,165.757996,36.556618,0,0,13,4.606751,Pizarras,Cambisols,2010
599439,4796870,0,0,14.685714,176.8,0.064033,60.409,58.848026,0,0,40,4.606751,Pizarras,Cambisols,2011
600398,4795120,0,0,13.7,146.9,0.027924,437.595001,10.543867,0,0,4,4.632827,Pizarras,Cambisols,2009
600736,4798737,0,0,14.571429,218,-0.00856,114.491997,63.455429,0,1,8,4.562872,Pizarras,Cambisols,2009
601125,4797489,0,0,14.628571,176.6,-0.034924,185.164001,3.700141,0,0,13,4.632827,Pizarras,Cambisols,2009
601211,4795014,0,0,13.728571,172.5,-0.071907,406.408997,37.706863,0,0,6,4.632827,Pizarras,Cambisols,2009
587240,4786100,0,0,14.514286,163.1,0.075278,108.296997,54.486816,0,0,26,4.603714,Pizarras,Cambisols,2009
588382,4787310,0,0,15.071429,173.2,0.021302,349.492004,28.6399,0,0,26,4.603714,Pizarras,Cambisols,2010
595596,4792830,0,0,15.257143,211.7,-0.098521,122.845001,56.761318,0,0,40,4.668631,Pizarras,Cambisols,2010
595933,4793561,0,0,14.385714,174.4,0.009932,207.837997,43.313938,0,0,16,4.668631,Pizarras,Cambisols,2011
596227,4793273,0,0,13.514286,151.7,0.039794,160.996994,15.781325,0,0,40,4.668631,Pizarras,Cambisols,2009
597610,4797441,0,0,13.771429,177.9,0.054537,142.518997,49.234634,0,0,33,4.606751,Pizarras,Luvisols,2011
599056,4796694,0,0,15.057143,222.2,-0.029051,106.094002,70,0,1,33,4.606751,Pizarras,Lixisols,2010
601877,4797261,0,0,15.057143,193.2,0.015929,17.334,37.011909,0,0,14,4.632827,Pizarras,Cambisols,2011
593343,4791520,0,0,14.914286,201,-0.029176,358.5,14.92697,0,0,40,4.578619,Pizarras,Cambisols,2011
585439,4787821,0,0,14.414286,212.9,-0.005312,253.395004,31.575474,0,0,18,4.594078,Pizarras,Cambisols,2009
585820,4788078,0,0,14.785714,241.1,-0.034049,113.036003,12.889036,0,1,26,4.603714,Pizarras,Cambisols,2009
586016,4787901,0,0,15.328571,263.7,0.042792,138.251999,25.354214,0,1,5,4.603714,Pizarras,Cambisols,2011
586286,4787674,0,0,15.614286,187.7,0.057411,124.552002,25.817198,0,0,9,4.603714,Pizarras,Cambisols,2009
586515,4787827,0,0,16.057143,200.5,-0.023179,33.823002,34.796692,0,0,10,4.603714,Pizarras,Cambisols,2009
587219,4784677,0,0,16.057143,200.5,-0.023179,285.752991,34.796692,0,0,10,4.603714,Pizarras,Cambisols,2009
587990,4787999,0,0,15.514286,178.6,0.03667,214.182999,35.894905,0,0,8,4.603714,Pizarras,Cambisols,2009
583994,4786616,0,0,15.657143,171.3,0.00131,282.812012,22.987101,0,0,6,4.594078,Pizarras,Cambisols,2010
585535,4787441,0,0,15.742857,192.1,-0.051541,319.678009,33.692619,0,0,11,4.594078,Pizarras,Cambisols,2009
587472,4784279,0,0,15.2,175.1,0.064283,444.135986,36.529873,0,0,10,4.603714,Pizarras,Cambisols,2009
588001,4788312,0,0,15.571429,164.3,0.018428,146.651001,36.991932,0,0,9,4.603714,Pizarras,Cambisols,2009
588182,4784970,0,0,15.914286,203.7,-0.018181,333.934998,35.697712,0,0,26,4.603714,Pizarras,Cambisols,2009
588814,4789202,0,0,14.942857,179.5,0.070655,283.196014,29.638586,0,0,26,4.577865,Pizarras,Cambisols,2009
588916,4789277,0,0,14.914286,188.8,-0.029426,325.036011,41.394855,0,0,26,4.577865,Pizarras,Cambisols,2009
586234,4784430,0,0,15.914286,205.1,-0.06641,260.518005,50.26778,0,0,15,4.603714,Pizarras,Cambisols,2009
586267,4785681,0,0,15.957143,212.3,0.001185,227.615005,29.674534,0,0,26,4.603714,Pizarras,Cambisols,2009
586323,4785793,0,0,15.957143,191,-0.013558,207.675003,9.843223,0,0,21,4.603714,Pizarras,Cambisols,2009
586524,4785260,0,0,15.814286,191.2,0.015804,102.018997,33.229046,0,0,4,4.603714,Pizarras,Cambisols,2010
587929,4785359,0,0,14.057143,190.7,0.022301,132.983994,17.957203,0,1,24,4.603714,Pizarras,Cambisols,2010
587966,4785787,0,0,14.4,186.7,0.064283,130.330994,35.507038,0,0,38,4.603714,Pizarras,Cambisols,2009
588082,4785292,0,0,14.985714,192.2,0.009807,227.216995,34.111427,0,0,10,4.603714,Pizarras,Cambisols,2010
588100,4784937,0,0,15.057143,197.3,0.012431,292.717987,12.803286,0,1,40,4.603714,Pizarras,Cambisols,2011
588664,4788917,0,0,15.185714,268,0.023551,239.354004,58.158684,0,1,7,4.577865,Pizarras,Cambisols,2011
589178,4789259,0,0,14.557143,245.2,0.004809,286.028015,57.755844,0,1,16,4.577865,Pizarras,Cambisols,2011
589856,4788752,0,0,13.642857,210.8,-0.030426,417.777008,43.495602,0,0,40,4.603714,Pizarras,Cambisols,2010
596589,4794024,0,0,14.114286,219.4,-0.000689,394.981995,63.524925,0,1,1,4.606751,Pizarras,Cambisols,2010
595721,4792315,0,0,15.471429,266.9,-0.030925,133.436005,5.522777,0,1,22,4.668631,Pizarras,Cambisols,2010
592700,4789055,0,0,14.914286,244.3,0.031672,313.403992,51.584633,0,1,4,4.578619,Pizarras,Cambisols,2011
590516,4790379,0,0,14.8,266,0.07053,289.669006,25.449518,0,1,26,4.578619,Pizarras,Cambisols,2011
590516,4790379,0,0,15.571429,167.4,0.035295,289.669006,6.920487,0,0,17,4.578619,Pizarras,Cambisols,2009
592515,4789492,0,0,16.028571,182.2,0.054287,282.403992,32.989216,0,0,19,4.578619,Pizarras,Cambisols,2009
592515,4789492,0,0,15.657143,176.6,0.018553,282.403992,15.805293,0,0,17,4.578619,Pizarras,Cambisols,2009
590288,4789893,0,0,16.042857,176.2,0.020052,347.084015,8.846012,0,0,10,4.577865,Pizarras,Cambisols,2010
592700,4789055,0,0,15.142857,242,0.050914,313.403992,70,0,1,14,4.578619,Pizarras,Cambisols,2011
587045,4785502,0,0,15.428571,255.2,-0.018306,273.795013,57.748589,0,1,7,4.603714,Pizarras,Cambisols,2011
590288,4789893,0,0,16.071429,273.6,-0.008935,347.084015,24.615555,0,1,40,4.577865,Pizarras,Cambisols,2011
584504,4783611,0,0,15.942857,197.7,-0.064911,641.380005,39.500629,0,0,17,4.665613,Pizarras,Cambisols,2009
586319,4787664,0,0,13.914286,147.3,0.017928,102.994003,25.89889,0,0,40,4.603714,Pizarras,Cambisols,2010
586319,4787664,0,0,14.442857,183.1,-0.097896,102.994003,15.560143,0,0,25,4.603714,Pizarras,Cambisols,2010
595945,4794067,0,0,14.314286,184.8,0.075403,383.545013,62.235401,0,0,10,4.606751,Pizarras,Cambisols,2010
586358,4785179,0,0,14.442857,181.9,-0.099395,203.641998,18.721899,0,0,17,4.603714,Pizarras,Cambisols,2010
588291,4789347,0,0,14.8,179.9,-0.039547,238.192001,31.752922,0,0,17,4.577865,Pizarras,Cambisols,2010
588291,4789347,0,0,13.828571,139.1,0.018303,238.192001,2.024098,0,0,40,4.577865,Pizarras,Cambisols,2010
588987,4789227,0,0,14.085714,159.6,0.041793,319.089996,36.249401,0,0,19,4.577865,Pizarras,Cambisols,2010
593381,4791465,0,0,14,158.3,0.029673,349.053009,14.425602,0,0,2,4.578619,Pizarras,Cambisols,2010
574115,4780349,0,0,13.557143,160.7,-0.040796,327.299988,9.940174,0,0,40,4.636234,Areniscas,Luvisols,2010
595137,4793331,0,0,13.728571,152.7,0.003434,103.702003,10.18382,0,0,4,4.578619,Areniscas,Cambisols,2010
