"URI","dim1","dim2","dim3"
"http://www.w3.org/2001/XMLSchema#String",-2.233575124383896086e-28,-4.497279908316471820e-28,3.384395560236645927e-28
"http://yago-knowledge.org/resource/hasCapital",6.324976223816480489e-03,1.583204381172447503e-03,6.060638834007554994e-03
"http://yago-knowledge.org/resource/yagoInternalRelation",-1.251356764811897317e-03,1.974500728384199436e-03,7.357842056535247692e-04
"http://yago-knowledge.org/resource/hasWikipediaUrl",7.792808616690662105e-02,1.674679636696327009e-02,7.292035715589900713e-02
"http://yago-knowledge.org/resource/yagoFraction",-3.378999998295030126e-03,-6.931174231071105842e-03,5.155075166819013746e-03
"http://yago-knowledge.org/resource/m",-4.471842456162806491e-03,-9.173186785006271632e-03,6.822426474260523573e-03
"http://yago-knowledge.org/resource/permanentRelationToSubject",2.089286677132044454e-02,1.824772113608435220e-01,1.703725680695409028e-01
"http://www.w3.org/2001/XMLSchema#date",-3.611610378379630226e-02,-7.409287241146020331e-02,5.510216087430235693e-02
"http://yago-knowledge.org/resource/isPoliticianOf",1.692696549747887275e-02,4.151897129080895157e-03,1.616238055329750900e-02
"http://yago-knowledge.org/resource/percent",-3.451926420701378808e-03,-7.081718678122009801e-03,5.266594202472857367e-03
"http://yago-knowledge.org/resource/hasGloss",8.353261333459192917e-02,1.856093814005390155e-02,7.856688282997106865e-02
"http://yago-knowledge.org/resource/yagoLegalActorGeo",-5.042699490332080287e-02,-1.006006134003119279e-01,7.615213772612713927e-02
"http://yago-knowledge.org/resource/hasConfidence",6.019495137797570977e-02,1.085399965975327070e-02,5.503688256629609560e-02
"http://yago-knowledge.org/resource/hasAirportCode",4.487178610072555668e-02,9.061668175567114819e-03,4.164110735416619996e-02
"http://yago-knowledge.org/resource/hasImport",4.477781190137460759e-02,8.646081513949787148e-03,4.128797856632164531e-02
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type",7.157005794728765746e-02,1.349048663353936799e-02,6.580086625861895910e-02
"http://yago-knowledge.org/resource/happenedOnDate",4.210419903929654706e-02,8.053597883663873858e-03,3.877713981316623093e-02
"http://yago-knowledge.org/resource/wordnet_movie_106613686",-1.590279419026852797e-02,-3.236711009925998667e-02,2.419193170257365882e-02
"http://yago-knowledge.org/resource/influences",8.308081213758945760e-02,1.768699215739819031e-02,7.768343605673257157e-02
"http://yago-knowledge.org/resource/yagoTheme_yagoSchema",0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
"http://www.w3.org/2000/01/rdf-schema#domain",4.426534994462860001e-02,8.190606595483991559e-03,4.060184982713382906e-02
"http://yago-knowledge.org/resource/yagoMetadataRelation",-1.781610685249802438e-28,2.812279283982606469e-28,1.047365909279528033e-28
"http://yago-knowledge.org/resource/wordnet_person_100007846",-1.563110722298368671e-01,-3.126451236843939552e-01,2.362748643994107001e-01
"http://yago-knowledge.org/resource/worksAt",1.742319871649898599e-02,4.312488188229390146e-03,1.666230985607325410e-02
"http://yago-knowledge.org/resource/dealsWith",5.836462170370111668e-02,1.090356323321039350e-02,5.359937184491918999e-02
"http://yago-knowledge.org/resource/created",2.648837077835524897e-02,8.267105977527557450e-03,2.648189732716325559e-02
"http://www.w3.org/2000/01/rdf-schema#Resource",-1.198012929785054539e-02,-2.706410556372467954e-02,1.880029299287571190e-02
"http://yago-knowledge.org/resource/wroteMusicFor",7.400380576907160390e-02,1.475016266980698314e-02,6.853924515946463458e-02
"http://yago-knowledge.org/resource/actedIn",5.772106245899163296e-02,1.076109804606513974e-02,5.299522281478494939e-02
